"2 theta, degree"	Intensity
23.8954	27036.9422
23.9124	28317.8351
23.9294	28547.3406
23.9464	28072.7775
23.9634	26915.2327
23.9804	26600.5841
23.9974	25784.412
24.0144	24590.4583
24.0314	23688.6309
24.0484	23477.3791
24.0654	23181.2326
24.0824	23169.2821
24.0994	23258.1945
24.1164	23274.222
24.1334	23294.5014
24.1504	23326.3684
24.1674	23362.4499
24.1844	23470.4201
24.2014	23440.0687
24.2184	23485.2509
24.2354	23447.3079
24.2524	23287.2143
24.2694	23538.248
24.2864	23637.4896
24.3034	23524.1594
24.3204	23490.2738
24.3374	23506.2485
24.3544	23579.8556
24.3714	23588.1899
24.3884	23660.9719
24.4054	23583.797
24.4224	23652.7743
24.4394	23665.8154
24.4564	23786.1523
24.4734	23815.0397
24.4904	23684.775
24.5074	23963.6252
24.5244	23983.752
24.5414	24179.3296
24.5584	23973.3436
24.5754	24271.2276
24.5924	23922.6447
24.6094	24365.4989
24.6264	24105.7806
24.6434	24391.8098
24.6604	24277.5728
24.6774	24864.1658
24.6944	24830.9511
24.7114	24953.8795
24.7284	24871.3201
24.7454	25790.2966
24.7624	25849.1556
24.7794	26573.628
24.7964	27460.1871
24.8134	29251.2786
24.8304	31199.6934
24.8474	33845.3239
24.8644	36111.5699
24.8814	38216.169
24.8984	42430.8042
24.9154	47795.5565
24.9324	54474.0758
24.9494	62737.7975
24.9664	72896.0564
24.9834	83066.0691
25.0004	93361.34
25.0174	106317.515
25.0344	124796.4602
25.0514	144084.7634
25.0684	150503.3437
25.0854	139405.8719
25.1024	122475.5694
25.1194	110982.7628
25.1364	97808.283
25.1534	80341.0221
25.1704	62913.1928
25.1874	48941.5575
25.2044	39653.4265
25.2214	34556.3077
25.2384	30746.2065
25.2554	27708.7077
25.2724	26026.0605
25.2894	25410.5411
25.3064	25126.3384
25.3234	24939.1549
25.3404	24744.9273
25.3574	24565.44
25.3744	24544.2451
25.3914	24670.5394
25.4084	24752.6574
25.4254	24591.1506
25.4424	24979.8038
25.4594	24793.9425
25.4764	25265.1748
25.4934	25253.8443
25.5104	25692.9634
25.5274	25927.6334
25.5444	26398.1414
25.5614	26878.9984
25.5784	27030.6518
25.5954	27529.3742
25.6124	27790.0724
25.6294	28030.0309
25.6464	29173.9664
25.6634	28957.8986
25.6804	28852.851
25.6974	29045.6927
25.7144	29109.5163
25.7314	29183.7784
25.7484	29479.7039
25.7654	29412.1427
25.7824	29513.0375
25.7994	29858.0931
25.8164	29934.3196
25.8334	30017.2702
25.8504	29686.61
25.8674	29128.7997
25.8844	28562.9466
25.9014	28020.5766
25.9184	27443.229
25.9354	26738.6776
25.9524	26070.8239
25.9694	25430.3186
25.9864	24768.2206
26.0034	24475.52
26.0204	24259.7005
26.0374	24221.9044
26.0544	24234.2955
26.0714	23987.2909
26.0884	23811.7884
26.1054	23788.7824
26.1224	23713.9062
26.1394	23791.5043
26.1564	23973.3786
26.1734	23840.4453
26.1904	23758.2286
26.2074	23757.5086
26.2244	23790.2443
26.2414	24153.2076
26.2584	24173.8464
26.2754	24264.1788
26.2924	24465.6323
26.3094	24774.0338
26.3264	25187.1208
26.3434	25617.2366
26.3604	26223.4662
26.3774	26800.2181
26.3944	26618.6075
26.4114	26625.6723
26.4284	26426.8204
26.4454	26757.1999
26.4624	26545.0598
26.4794	25628.9281
26.4964	25162.6072
26.5134	24800.6262
26.5304	24444.1583
26.5474	24068.6411
26.5644	23690.2139
26.5814	23817.0031
26.5984	23749.8805
26.6154	23475.2793
26.6324	23408.3031
26.6494	23342.363
26.6664	23744.3289
26.6834	23271.7791
26.7004	23491.739
26.7174	23353.0535
26.7344	23486.0219
26.7514	23166.2836
26.7684	23338.4668
26.7854	23193.4139
26.8024	23415.5554
26.8194	23395.2711
26.8364	23579.4469
26.8534	23584.7397
26.8704	23344.9839
26.8874	23598.1371
26.9044	23660.4129
26.9214	23520.936
26.9384	23464.9153
26.9554	23428.6997
26.9724	23362.6637
26.9894	23219.5255
27.0064	23196.3831
27.0234	23240.6507
27.0404	23120.5765
27.0574	23215.2281
27.0744	23227.4573
27.0914	23301.9854
27.1084	23329.5146
27.1254	23275.8807
27.1424	23227.7008
27.1594	23325.093
27.1764	23228.0535
27.1934	23237.4127
27.2104	23446.2511
27.2274	23479.4161
27.2444	23509.9219
27.2614	23301.2853
27.2784	23170.5454
27.2954	23238.332
27.3124	23427.71
27.3294	23384.2919
27.3464	23453.098
27.3634	23382.147
27.3804	23482.208
27.3974	23446.7082
27.4144	23524.5234
27.4314	23676.7455
27.4484	23806.5821
27.4654	23951.9137
27.4824	23836.7088
27.4994	23768.8018
27.5164	23834.6727
27.5334	24123.5698
27.5504	24239.8218
27.5674	24397.3125
27.5844	24798.2101
27.6014	24929.7017
27.6184	25204.2702
27.6354	25104.3691
27.6524	25556.2615
27.6694	25279.1499
27.6864	24961.3146
27.7034	24768.3914
27.7204	24991.7086
27.7374	24718.9927
27.7544	24660.2126
27.7714	24424.8644
27.7884	23973.0197
27.8054	23769.9767
27.8224	23869.4926
27.8394	23877.0192
27.8564	23716.7029
27.8734	23266.4999
27.8904	23683.392
27.9074	23666.7882
27.9244	23606.6675
27.9414	23632.4173
27.9584	23538.7784
27.9754	23700.3327
27.9924	23726.5114
28.0094	23420.0777
28.0264	23361.4842
28.0434	23432.6212
28.0604	23298.201
28.0774	23333.5073
28.0944	23554.4796
28.1114	23222.2104
28.1284	23237.3192
28.1454	23400.6532
28.1624	23382.6228
28.1794	23353.494
28.1964	23443.5686
28.2134	23510.1679
28.2304	23511.6012
28.2474	23388.2976
28.2644	23257.9579
28.2814	23468.6349
28.2984	23539.3503
28.3154	23509.6248
28.3324	23503.3608
28.3494	23432.3931
28.3664	23601.9557
28.3834	23560.517
28.4004	23464.6272
28.4174	23618.7096
28.4344	23532.2038
28.4514	23617.4439
28.4684	23605.7458
28.4854	23498.3333
28.5024	23726.8717
28.5194	23577.5344
28.5364	23600.6994
28.5534	23459.067
28.5704	23504.8072
28.5874	23815.5366
28.6044	23553.2055
28.6214	23535.0179
28.6384	23568.4292
28.6554	23595.763
28.6724	23611.7439
28.6894	23517.9765
28.7064	23846.5549
